name,name:en
丹桂路张东路,Dangui Road Zhangdong Road
中华艺术宫,China Art Museum
西营路,Xiying Road
长清路,Changqing Road
秦皇岛,Qinhuangdao
其昌栈,Qichangzhan
Captain Hostel ,Captain Bar
上海图书馆,Shanghai Library
交通大学,Jiaotong University
虹桥路,Hongqiao Road
宋园路,Songyuan Road
伊犁路,Yili Road
水城路,Shuicheng Road
龙溪路,Longxi Road
龙柏新村,Longbai Xincun
紫藤路,Ziteng Road
航中路,Hangzhong Road
上海动物园,Shanghai Zoo
虹桥火车站,Hongqiao Railway Station
江湾体育场,Jiangwan Stadium
五角场,Wujiaochang
安亭北 North Anting,Anting North
桃浦东路桃浦路,East Taopu Road Taopu Road
上海西站,Shanghai West Railway Station
杨高北路,North Yanggao Road
五洲大道/绕城高速/浦东机场/崇明,Wuzhou Avenue/Raocheng Expressway/Pudong International Airport/Chongming
五洲大道/绕城高速/浦东国际机场/崇明,Wuzhou Avenue/Raocheng Expressway/Pudong International Airport/Chongming
外环高速/绕城高速/浦东机场/外环隧道,Outer Ring Expressway/Raocheng Expressway/Pudong International Airport/Outer Ring Tunnel
仙霞路,XianXia Road
曲阳路/逸仙路,Quyang Road/Yixian Road
桃浦路,Taopu Rd
嘉松公路,Jiasong Highway
虹桥枢纽 北翟路,Hongqiao Hub  Beidi Rd.
上海南站出发,Shanghai South Staition Departure
G15 宁波 南通,G15 To Ningbo To Nantong
G1501 安亭方向,G1501 To Anting
中石油加油站,Sinopec
大鱼,Tairyo
慕尼黑啤酒屋,Hofbraeuhaus Shanghai
Hotel Nikko Shanghai,Nikko Hotel
石龙路,Shilong Rd
中环路(虹桥枢纽方向),Middle Ring Rd.(To Hongqiao Hub)
沪闵高架路(内环高架路方向) 顾戴路,Humin Elevated Rd(To Inner Elevated Road)  Gudai Road
豫园,Yuyuan Garden
沪闵高架路,Humin Elevated Rd
耀龙路,Yaolong Road
北郊,North District
长征医院 Changzheng Hospital,Changzheng Hospital
江湾游泳池,Jiangwan Swimming Pool
松潘路杨树浦路,Songpan Road Yangshupu Road
徐经菜市场,Xujing Vegetable Market
七宝,Qibao
凉城,Liangcheng
温哥华案例馆 Vancouver Case Pavilion,Vancouver Case Pavilion
西安案例馆 Xi'an Case Pavilion,Xi'an Case Pavilion
宁波案例馆 Ningbo Case Pavilion,Ningbo Case Pavilion
王府饭店 Wangfu Hotel,Wangfu Hotel
麦加案例馆 Mecca Case Pavilion,Mecca Case Pavilion
警察局,Police
黎平路杨树浦路,Liping Road Yangshupu Road
白城路开鲁路,Baicheng Road Kailu Road
闵行区,Minhang
莘庄镇,Xinzhuang
热带风暴水上乐园 Dino Water Park,Dino Water Park
港城路地铁站,Gangcheng Road Metro Station
国浩路政和路,Guohao Road Zhenghe Road
复旦大学江湾城新校区,Fudan University Jiangwan Town New School District
淞沪路殷行路,Songhu Road Yinhang Road
国江路淞行路 (下客站),Guojiang Road Songxing Road
国帆路淞沪路,Guofan Road Songhu Road
政和路国帆路,Zhenghe Road Guofan Road
国江路淞行路,Guojiang Road Songxing Road
复旦大学,Fudan University
淞沪路国晓路,Songhu Road Guoxiao Road
宝山,Baoshan
友谊支路,Youyi Feeder Road
友谊路,Youyi Road
三门路市光路,Sanmen Road Shiguang Road
杨浦大桥,Yangpu Bridge
黄山新村,Huangshan New Estate
张杨北路,North Zhangyang Road
港华路经一路,Ganghua Road Jingyi Road
港电路 (外高桥电厂9号门),Gangdian Road (Waigaoqiao Power Plant Gate 9)
洲海路,Zhouhai Road
航津路,Hangjin Road
杨高北路/外高桥保税区,North Yanggao Road/Waigaoqiao Free Trade Zone
江东路,Jiangdong Road
凌海路,Linghai Road
巨峰路,Jufeng Road
速八酒店 Super 8 Motel,Super 8 Motel
永盛路,Yongsheng Road
M1轮渡码头,M1 Ferry Terminal
浦东香格里拉大酒店,Shanghai Pudong Shangri-La
淞沪路殷高路,Songhu Road Yingao Road
国和消防中队,Guohe Fire Station
国和路民庆路,Guohe Road Minqing Road
龙东大道,Longdong Avenue
合庆镇,Heqing
青岛啤酒松江公司,Tsing Tao Brewery
镇坪路,Zhenping Road
上海火车站,Shanghai Railway Station
赤峰路,Chifeng Road
普陀医院,Putuo Hospital
兰溪路梅岭北路,Lanxi Road North Meiling Road
文化馆,Cultural Center
好德,alldays
常熟路,Chang Shu Road
火锅餐厅,Hot Pot King
中国石化,Sinopec
85°度,85°C
电梯,elevator
吴中路,Wuzhong Road
G1501 浦东机场方向,G1501 To Pudong Airport
安亭,Anting
松江南站,Songjiang South
老陕客栈,The Phoenix Hotel
Thai gallery ,Bali Laguna
bu feng lian hua,Lotus
Cotton's,Cotton's Pub Xinhua Lu
伊宁路,Yining Road
紫竹科技园区 Zizhu Science Park,Zizhu Science Park
泰晤士体检会所,Thames Town Health Club
松江美术馆,Songjiang Art Museum
上海宝隆泰晤士假日酒店,Baolong Thames Holiday Hotel
松江城市规划展示馆,Songjiang Urban Planning Exhibition Hall
大卫徳堡,David Hall
乐途静安国际青年旅舍,Le Tour Traveler's Rest Youth Hostel
The appartement,The Apartment
殷行路淞沪路,Yinhang Road Songhu Road
国秀路政和路,Guoxiu Road Zhenghe Road
政悦路国伟路,Zhengyue Road Guowei Road
闸殷路殷行路,Zhayin Road Yinhang Road
殷行路江湾城路,Yinhang Road Jiangwancheng Road
国浩路江湾城路,Guohao Road Jiangwancheng Road
殷行路政和路,Yinhang Road Zhenghe Road
国伟路政悦路,Guowei Road Zhengyue Road
湖心亭,Hu Xin Ting (Mid-Lake Pavilion Teahouse)
Ramada Plaza,Ramada Plaza Shanghai Gateway
长阳路黄兴路,Changyang Road Huangxing Road
长阳路大连路,Changyang Road Dalian Road
营口路控江路,Yingkou Road Kongjiang Road
营口路国顺东路,Yingkou Road East Guoshun Road
靖宇东路,East Jingyu Road
包头路,Baotou Road
营口路翔殷路,Yingkou Road Xiangyin Road
黄兴路国顺路,Huangxing Road Guoshun Road
三门路新江湾城,Sanmen Road Xinjiangwancheng
翔殷路五角场,Xiangyin Road Wujiaochang
淞沪路五角场,Songhu Road Wujiaochang
邯郸路五角场,Handan Road Wujiaochang
黄兴路五角场,Huangxing Road Wujiaochang
四平路五角场,Siping Road Wujiaochang
通南路,Tongnan Road
殷行路中原路,Yinhang Road Zhongyuan Road
控江路打虎山路,Kongjiang Road Dahushan Road
安图路松花江路,Antu Road at Songhuajiang Road
虹桥1号航站楼,Hongqiao Airport Terminal 1
上海蓝山虹桥国际青年旅舍,Shanghai Blue Mountain Youth Hostel Hongqiao
世纪联华超市,Century Mart
Riverview on the Bund,Riverview Hotel
俞泾港路西藏北路,Shujinggang Road at North Xizang Road
政本路邮政局,Zhengben Road Post Office
国定路政立路,Guoding Road Zhengli Road
米其林,Michelin
中山东一路北京东路,East Zhongshan No. 1 Road East Beijing Road
东长治路海门路,East Changzhi Road Haimen Road
周家嘴路,Zhoujiazui Road
周浦镇,Zhoupu
横沔,Hengmian
三鲁公路联航路,Sanlu Highway Lianhang Road
随塘公路曹家浜路,Suitang Road Caojiabang Road
随塘公路凌海路,Suitang Road Linghai Road
长兴岛,Changxing Island
沃尔玛,Walmart
梦溪酒店,Mengxi Hotel
枫叶速8酒店 大连路店 Super8 Hotel,Super8 Hotel
东方国际水产中心,Dongfang Guoji Shuichan Zhongxin
上柴厂,Shangchaichang
军工路民星路,Jungong Road Minxing Road
张江地铁,Zhangjiang Hi-Tech Park
碧波路高科路,Bibo Road Gaoke Road
华佗路科苑路,Huatuo Road Keyuan Road
北门,North Gate
政立路市光路,Zhengli Road Shiguang Road
控江新村,Kongjiang Xincun
宁国路平凉路,Ningguo Road Pingliang Road
黄兴路控江路,Huangxing Road Kongjiang Road
宁国路河间路,Ningguo Road Hejian Road
国伟饭店,Guowei Hotel
肯德基(四平路店),Kentucky Fried Chicken
乐购,Tesco
陆家浜,Liujiabang
罗泾镇,Luojing
娄唐镇,Loutang
嘉定博物馆,Jiading Museum
星巴克咖啡,Starbucks
新元素,Ritz Bar
鼎泰丰,Din Tai Fung
安亭/水产路,Anting/Shuichan Road
古银杏,Ginkgo Tree
Shinesun Digital Plaza,Shinesun Digital Plaza
5号出入口,Gate 5
6号出入口,Gate 6
石洞口码头,Shidongkou Dock
淞滨路,Songbin Road
同济路/上海港吴淞客运中心,Tongji Road/Shanghai Port Wusong Passenger Center
水产路,Shuichan Road
牡丹江路淞宝路,Mudanjiang Road Songbao Road
牡丹江路水产路,Mudanjiang Road Shuichan Road
海滨八村,Haibin Bacun
水产路牡丹江路,Shuichan Road Mudanjiang Road
外环高速/绕城高速/宝山城区/外环隧道,Outer Ring Expressway/Raocheng Expressway/Baoshan/Outer Ring Tunnel
浦星公路沈杜公路,Puxing Highway Shendu Highway
沈杜公路（原航天博物馆）,Shendu Highway
江月路浦晓南路,Jiangyue Road South Puxiao Road
江月路,Jiangyue Road
联航路,Lianhang Road
浦江镇,Pujiang Town
杜行渡口,Duhang Ferry Dock
丰收村,Fengshoucun
联航路浦锦路,Lianhang Road Pujin Road
联航路浦驰路,Lianhang Road Puchi Road
联航路浦星公路,Lianhang Road Puxing Highway
江月路浦锦路,Jiangyue Road Pujin Road
江月路浦雪路,Jiangyue Road Puxue Road
浦瑞路南江燕路,Purui Road South Jiangyan Road
联航路浦瑞路,Lianhang Road Purui Road
江月路浦驰路,Jiangyue Road Puchi Road
浦瑞路联航路,Purui Road Lianhang Road
鲁陈路立跃路,Luchen Road Liyue Road
开鲁路中原路,Kailu Road Zhongyuan Road
开鲁新村,Kailu Xincun
全家 浦东机场二店,Family Mart
九亭导航台 Jiuting VOR,Jiuting VOR
浦江镇政府,Pujiang Town Hall
江文路召楼路,Jiangwen Road Zhaolou Road
江文路江玮路,Jiangwen Road Jiangwei Road
召楼路联航路,Zhaolou Road Lianhang Road
召楼路谈中路,Zhaolou Road Tanzhong Road
竹园路三鲁公路,Zhuyuan Road Sanlu Highway
